brand,category,cellular_technology,image,model_name,mrp,os,price,ratings,ratings_count,size,title
Realme,Mobile,4G,https://m.media-amazon.com/images/I/41dEcQR7UnL._SX300_SY300_QL70_ML2_.jpg,Realme narzo N53,"₹10,999",Android 13.0,"7,999", 3.9 ,"8,300 ratings",,"        realme narzo N53 (Feather Gold, 4GB+64GB) 33W Segment Fastest Charging | Slimmest Phone in Segment | 90 Hz Smooth Display       "
Redmi,Mobile,4G,https://m.media-amazon.com/images/I/41lvprpWDjL._SX300_SY300_QL70_ML2_.jpg,Redmi 12C,"₹13,999","MIUI 13, Android 12.0","6,999", 3.9 ,"8,838 ratings",,"        Redmi 12C (Lavender Purple, 4GB RAM, 64GB Storage) | High Performance Mediatek Helio G85 | Big 17cm(6.71) HD+ Display with 5000mAh(typ) Battery       "
OnePlus,Mobile,"5G, 4G LTE",https://m.media-amazon.com/images/I/41W0dAnmX9L._SX300_SY300_QL70_ML2_.jpg,OnePlus Nord 3 5G,,OxygenOS,"33,999", 4.0 ,"2,216 ratings",,"        OnePlus Nord 3 5G (Misty Green, 8GB RAM, 128GB Storage)       "
Realme,Mobile,4G,https://m.media-amazon.com/images/I/41QssaE9gfL._SX300_SY300_QL70_ML2_.jpg,Realme narzo N53,"₹12,999",Android 13.0,"9,499", 3.9 ,"8,300 ratings",,"        realme narzo N53 (Feather Black, 6GB+128GB) 33W Segment Fastest Charging | Slimmest Phone in Segment | 90 Hz Smooth Display       "
Redmi,Mobile,4G,https://m.media-amazon.com/images/I/41zxerd4OJL._SX300_SY300_QL70_ML2_.jpg,Redmi A2,"₹9,999","Android 13 Go, Android 13.0","5,299", 3.8 ,"4,388 ratings",,"        Redmi A2 (Sea Green, 2GB RAM, 64GB Storage)       "
Realme,Mobile,"5G, 4G LTE",https://m.media-amazon.com/images/I/41snmTn9mrL._SX300_SY300_QL70_ML2_.jpg,Realme narzo 60 5G,"₹19,999",Android 13.0,"16,499", 4.0 ,"2,840 ratings",,"        realme narzo 60 5G (Mars Orange,8GB+128GB) 90Hz Super AMOLED Display | Ultra Premium Vegan Leather Design | with 33W SUPERVOOC Charger       "
Redmi,Mobile,5G,https://m.media-amazon.com/images/I/41-2m5Oyv5L._SX300_SY300_QL70_ML2_.jpg,Redmi 12 5G,"₹15,999","MIUI 14, Android 13.0","11,999", 3.7 ,"3,573 ratings",,        Redmi 12 5G Moonstone Silver 4GB RAM 128GB ROM       
Samsung,Mobile,4G,https://m.media-amazon.com/images/I/41vQ5pqPAzL._SX300_SY300_QL70_ML2_.jpg,Samsung M04,"₹11,999",Android 12.0,"6,499", 3.9 ,"13,084 ratings",,"        Samsung Galaxy M04 Dark Blue, 4GB RAM, 64GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera       "
OnePlus,Mobile,"5G, 4G LTE",https://m.media-amazon.com/images/I/414+xRBltFL._SY300_SX300_.jpg,OnePlus 11 5G,,OxygenOS,"61,999", 4.3 ,"4,356 ratings",,"        OnePlus 11 5G (Eternal Green, 16GB RAM, 256GB Storage)       "
Realme,Mobile,4G,https://m.media-amazon.com/images/I/41QssaE9gfL._SX300_SY300_QL70_ML2_.jpg,Realme narzo N53,"₹10,999",Android 13.0,"7,999", 3.9 ,"8,300 ratings",,"        realme narzo N53 (Feather Black, 4GB+64GB) 33W Segment Fastest Charging | Slimmest Phone in Segment | 90 Hz Smooth Display       "
Lava,Mobile,5G,https://m.media-amazon.com/images/I/41U0KBNRk5L._SX300_SY300_QL70_ML2_.jpg,Lava Agni 2 5G,"₹25,999",Android 13.0,"19,999", 4.2 ,"1,911 ratings",,"        Lava Agni 2 5G (Glass Viridian, 8GB RAM, 256GB Storage) | India's First Dimensity 7050 Processor | 120 Hz Curved Amoled Display | 13 5G Bands | Superfast 66W Charging | Clean Android       "
